country,points,price,province,region_1,region_2,variety,winery
Italy,87,,Sicily & Sardinia,Etna,,White Blend,Nicosia
Portugal,87,15,Douro,,,Portuguese Red,Quinta dos Avidagos
US,87,14,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Rainstorm
US,87,13,Michigan,Lake Michigan Shore,,Riesling,St. Julian
US,87,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Sweet Cheeks
Spain,87,15,Northern Spain,Navarra,,Tempranillo-Merlot,Tandem
Italy,87,16,Sicily & Sardinia,Vittoria,,Frappato,Terre di Giurfo
France,87,24,Alsace,Alsace,,Gewürztraminer,Trimbach
Germany,87,12,Rheinhessen,,,Gewürztraminer,Heinz Eifel
France,87,27,Alsace,Alsace,,Pinot Gris,Jean-Baptiste Adam
US,87,19,California,Napa Valley,Napa,Cabernet Sauvignon,Kirkland Signature
France,87,30,Alsace,Alsace,,Gewürztraminer,Leon Beyer
US,87,34,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Louis M. Martini
Italy,87,,Sicily & Sardinia,Etna,,Nerello Mascalese,Masseria Setteporte
US,87,12,California,Central Coast,Central Coast,Chardonnay,Mirassou
Germany,87,24,Mosel,,,Riesling,Richard Böcking
Argentina,87,30,Other,Cafayate,,Malbec,Felix Lavaque
Argentina,87,13,Mendoza Province,Mendoza,,Malbec,Gaucho Andino
Spain,87,28,Northern Spain,Ribera del Duero,,Tempranillo Blend,Pradorey
US,87,32,Virginia,Virginia,,Meritage,Quiévremont
US,87,23,Virginia,Virginia,,Red Blend,Quiévremont
US,87,20,Oregon,Oregon,Oregon Other,Pinot Noir,Acrobat
Italy,87,19,Sicily & Sardinia,Sicilia,,White Blend,Baglio di Pianetto
US,87,22,California,Paso Robles,Central Coast,Merlot,Bianchi
Italy,87,35,Sicily & Sardinia,Sicilia,,Nero d'Avola,Canicattì
US,87,69,California,Sonoma Coast,Sonoma,Pinot Noir,Castello di Amorosa
Italy,87,13,Sicily & Sardinia,Terre Siciliane,,White Blend,Stemmari
Italy,87,10,Sicily & Sardinia,Terre Siciliane,,Nero d'Avola,Stemmari
Italy,87,17,Sicily & Sardinia,Cerasuolo di Vittoria,,Red Blend,Terre di Giurfo
US,86,16,California,Clarksburg,Central Valley,Chenin Blanc,Clarksburg Wine Company
France,86,,Beaujolais,Beaujolais-Villages,,Gamay,Domaine de la Madone
Italy,86,,Sicily & Sardinia,Sicilia,,Red Blend,Duca di Salaparuta
